VARIABLES = X, Y, Z
ZONE N =      1576 E =      2828 F=FEPOINT ET=TRIANGLE
        0.8407640712       10.3262310163        5.3124682314
        0.3703118650        9.2466052687        6.2730508993
        0.8205868008       10.2885943066        6.6272939331
        0.0017749413        6.8423737732        0.0000000000
        0.0000206021        7.0169832160        0.1868347941
        0.0565147144        7.8877004496        0.0000000000
        0.0808174753        8.0606192485        0.1868347941
        0.6131178857        4.1350851918        0.0000000000
        0.4781877812        4.4571737411        0.0000000000
        0.5436440150        4.2952879275        0.1868347941
        0.1611914304        8.4935519235        0.9716268315
        1.0191527207        3.3627667353        0.1868347941
        0.0183443052        6.4935577431        0.0000000000
        0.0331490193        6.3195682157        0.1868347941
        0.2125079019        5.2882900310        0.1868347941
        0.6865661613        3.9766652246        0.1868347941
        0.0869416758        8.0998293533        3.3944945180
        0.0871717412        8.1012744730        4.0338185531
        0.0873619155        8.1024675563        4.6731431900
        0.1020987671        8.1912004788        6.5535182786
        0.0876053244        8.1039926851        5.9517933705
        0.0050801243        7.2666382064        1.7106398980
        0.0002395201        6.9420929737        2.3957215365
        0.7567897767       10.1658057596        1.4677724382
        0.3703118650        9.2466052687        3.7174180805
        0.8417826168       10.3281163834        4.0338185531
        5.9588580132       13.9221400855        0.0000000000
        6.3044699679       13.9653598597        0.0000000000
        6.1313951344       13.9458999120        0.1869410923
        6.6518039353       13.9913346008        0.0000000000
        6.4779753712       13.9805078817        0.1869410923
        0.3703118650        9.2466052687        5.6341426946
        0.0875091976        8.1033906412        5.3124682314
        0.0216761013        7.5504503298        6.9603287903
        0.8404743942       10.3256945608        5.9517933705
        1.3966534426       11.1955342160        1.6739005197
        1.4722281063       11.2946173160        2.3844323815
        8.0438289999       13.9217354052        0.0000000000
        7.8708517472       13.9456185638        0.1868347941
        4.7587570904        0.3684971371        0.1868347941
        0.7976571370        3.7548585532        1.9422945115
        0.3611889620        4.7804982537        2.2718655602
        6.9886778459        0.0000091565        0.0000000000
        6.6395916986        0.0092843102        0.0000000000
        6.8140769245        0.0024695349        0.1868347941
       13.5135523139        4.4360896555        0.0000000000
       13.5754786604        4.5993583384        0.1868347941
       13.0584002479        3.4934651811        0.0000000000
       12.8759851762        3.1956868939        0.0000000000
       12.9690499110        3.3434383418        0.1868347941
       13.2309054234       10.1899557371        0.0000000000
       13.3085354908       10.0335424773        0.1868347941
        8.3877276198       13.8610649358        0.0000000000
        8.2161567026       13.8935450151        0.1868347941
        2.1434689549       12.0412405425        1.9523068566
        3.0359937479       12.7694587644        1.6060352518
        3.0397822475       12.7720598882        2.2938729881
        8.5584349872       13.8243153789        0.1868347941
        3.2091927821       12.8847073536        0.1869410923
       11.3663252196       12.4713073462        0.1868347941
        9.3953231244       13.5774179683        0.0000000000
        9.5586418353       13.5156236815        0.1868347941
        7.2233854587       13.9964347304        1.7768446506
        7.6981999960       13.9650927320        1.2341568086
        9.2305138609       13.6351192843        0.1868347941
       12.4748367269       11.3618989918        0.0000000000
       12.3643321615       11.4971035636        0.1868347941
       10.4488324391       13.0914329026        1.7178197557
       11.6131743211       12.2648478310        1.7226477001
       11.1996989219       12.6002257959        2.3739198493
       11.8896514722       12.0091225260        0.1868347941
       13.6369209937        9.2251471241        0.0000000000
       13.5793529825        9.3900029984        0.1868347941
       12.1428680359       11.7487796712        2.3758746737
       13.1493980117       10.3443839633        0.1868347941
       13.2024659162       10.2449062480        0.4278016306
        9.9781181827        0.6651115172        2.4493958848
        8.7171986218        0.2138944237        0.0000000000
        8.5473949442        0.1731728536        0.1868347941
        7.6860658263        0.0337015796        0.0000000000
        7.8608401857        0.0531334996        0.1892614876
        8.8859337276        0.2588388259        0.1868347941
        6.3713090215        0.0282894743        1.6941645231
        5.8256763163        0.0992055612        1.1927884872
        5.1372076602        0.2524074887        1.7097653954
        4.2242926226        0.5738465195        1.3880884636
        4.0172320094        0.6672995401        1.9742482396
        7.0378201961       13.9998978302        0.4338555621
       13.8925592248        5.7782687149        0.0000000000
       13.9208889713        5.9505735630        0.1868347941
       11.4927638249        1.6320326740        0.0000000000
       11.6252619802        1.7457682184        0.1868347941
       10.3155714178        0.8350193696        0.4430116609
       10.7525901956        1.0908488914        0.4458842201
       10.4918257569        0.9331101145        0.1868347941
       12.9644300926        3.3359075243        1.7216055196
       12.2218058094        2.3381608684        1.6910236460
        1.9641617534        2.1378674273        1.2204583267
        2.7297651365        1.4533709146        1.1999739251
        2.3217285377        1.7929109740        0.7844094597
        2.3158463136        1.7982018261        1.7170473486
        4.9743672380        0.2994916675        1.1220940025
        4.1266167428       13.3830767391        0.1869410986
        5.7869654206       13.8940950899        0.1869410986
        5.8537531625       13.9055136078        0.4619879234
       13.8230528023        5.4360465299        0.0000000000
       13.8599404025        5.6067241212        0.1868347941
       13.8945263008        8.2105813013        0.0000000000
       13.8621849864        8.3821784300        0.1868347941
